name,place_type,lat,lon,cost,address,nearby_wifi
DUFFERIN - KING PARK,park,43.637976069311,-79.4275067408404,free,256 Dufferin St,False
JOSEPH WORKMAN PARK,park,43.6419809673351,-79.4171416016806,free,90 Shank St,False
BATHURST QUAY COMMON,park,43.6346634822841,-79.3964490027904,free,1 Eireann Quay,False
ELM PARK - YORK,park,43.7063327575616,-79.5162655962847,free,54 Elm St,False
FLORA VOISEY PARK,park,43.62123229033,-79.4847984685059,free,67 Yachters Lane,False
VILLAGE GREEN PARK,park,43.735380457832,-79.5636439368433,free,925 Albion Rd,True
TERRAVIEW PARK,park,43.7662731167083,-79.3115841663272,free,1625 Pharmacy Ave,False
YORK MILLS PARK,park,43.742002577538,-79.404521873039,free,321 York Mills Rd,False
R.V. BURGESS PARK,park,43.703797291595,-79.3437435948281,free,46 Thorncliffe Park Dr,False
SYD COLE PARK,park,43.5956471404689,-79.533884421172,free,60 Eastwood Park Gdns,False
MARIE CURTIS PARK,park,43.5857045220141,-79.5438584714419,free,2 Forty Second St,False
SIMCOE PARK,park,43.6447416909588,-79.3868440327855,free,240 Front St W,False
THOMPSON STREET PARKETTE,park,43.6592997621551,-79.3506172603787,free,120 Broadview Ave,False
NORTHEND PARKETTE,park,43.70669182829,-79.5326002146941,free,2393 Weston Rd,False
TAYLOR CREEK PARK,park,43.6998842885054,-79.3105665780394,free,260 Dawes Rd,False
WINCOTT PARK,park,43.6922173223495,-79.5504439625053,free,86 Northcrest Rd,False
SENATOR PETER BOSA PARKETTE,park,43.694422490823,-79.4453560037414,free,725 Vaughan Rd,False
MOORE PARK RAVINE,park,43.6923658995413,-79.3745609694578,free,205 Moore Ave,False
GREEN HILLS PARK,park,43.6947769071944,-79.479011194583,free,1 A Paulson Rd,False
JOLLY WAY PARK,park,43.7657334477714,-79.2782849841374,free,965 Ellesmere Rd,False
GREENWOOD PARK,park,43.6688907552529,-79.3286087969836,free,150 Greenwood Ave,False
WYNFORD PARK ,park,43.7285506343361,-79.3286545074525,free,1 Mcdonald's Pl,False
BUDAPEST PARK,park,43.6368580787462,-79.4493275020452,free,1575 Lake Shore Blvd W,False
CLOSE AVENUE PARKETTE,park,43.6370908434496,-79.4349850322132,free,116 Close Ave,False
DAVENPORT VILLAGE PARK,park,43.6693344928687,-79.4495415879971,free,18 Foundry Ave,False
JOSEPH BANNON PARK,park,43.7324129746878,-79.5347783133348,free,65 Mary Chapman Blvd,False
KENASTON PARK,park,43.7670660612967,-79.3855958782746,free,573 Sheppard Ave E,False
BLOORDALE PARK SOUTH,park,43.6367217859226,-79.570250305953,free,230 Renforth Dr,False
RAYMORE PARK,park,43.6953083087977,-79.5145529602621,free,95 Raymore Dr,False
HILLSDALE AVENUE PARK,park,43.7041601048466,-79.396703272605,free,33 Soudan Ave,False
ELLESMERE RESERVOIR PARK,park,43.7850970394402,-79.201895648833,free,2950 Ellesmere Rd,False
TORONTO ISLANDS - HANLAN'S POINT PARK,park,43.6187302073076,-79.3901050922186,free,9 Queens Quay W,False
TORONTO ISLANDS - CENTRE ISLAND PARK,park,43.6179900019989,-79.3723108377758,free,9 Queens Quay W,False
