HOOD_158,NEIGHBOURHOOD_158,OCC_YEAR,MCI_CATEGORY,count
006,Kingsview Village-The Westway (6),2017,Break and Enter,39
006,Kingsview Village-The Westway (6),2017,Robbery,14
006,Kingsview Village-The Westway (6),2017,Theft Over,6
006,Kingsview Village-The Westway (6),2018,Assault,101
006,Kingsview Village-The Westway (6),2018,Auto Theft,55
006,Kingsview Village-The Westway (6),2018,Break and Enter,40
006,Kingsview Village-The Westway (6),2018,Robbery,18
006,Kingsview Village-The Westway (6),2018,Theft Over,3
006,Kingsview Village-The Westway (6),2019,Assault,99
006,Kingsview Village-The Westway (6),2019,Auto Theft,41
006,Kingsview Village-The Westway (6),2019,Break and Enter,27
006,Kingsview Village-The Westway (6),2019,Robbery,14
006,Kingsview Village-The Westway (6),2019,Theft Over,3
006,Kingsview Village-The Westway (6),2020,Assault,98
006,Kingsview Village-The Westway (6),2020,Auto Theft,60
006,Kingsview Village-The Westway (6),2020,Break and Enter,14
006,Kingsview Village-The Westway (6),2020,Robbery,7
006,Kingsview Village-The Westway (6),2020,Theft Over,6
006,Kingsview Village-The Westway (6),2021,Assault,102
006,Kingsview Village-The Westway (6),2021,Auto Theft,85
006,Kingsview Village-The Westway (6),2021,Break and Enter,16
006,Kingsview Village-The Westway (6),2021,Robbery,9
006,Kingsview Village-The Westway (6),2021,Theft Over,8
006,Kingsview Village-The Westway (6),2022,Assault,142
006,Kingsview Village-The Westway (6),2022,Auto Theft,121
006,Kingsview Village-The Westway (6),2022,Break and Enter,15
006,Kingsview Village-The Westway (6),2022,Robbery,10
006,Kingsview Village-The Westway (6),2022,Theft Over,7
006,Kingsview Village-The Westway (6),2023,Assault,143
006,Kingsview Village-The Westway (6),2023,Auto Theft,115
006,Kingsview Village-The Westway (6),2023,Break and Enter,42
006,Kingsview Village-The Westway (6),2023,Robbery,23
006,Kingsview Village-The Westway (6),2023,Theft Over,7
006,Kingsview Village-The Westway (6),2024,Assault,147
006,Kingsview Village-The Westway (6),2024,Auto Theft,77
006,Kingsview Village-The Westway (6),2024,Break and Enter,24
006,Kingsview Village-The Westway (6),2024,Robbery,19
006,Kingsview Village-The Westway (6),2024,Theft Over,11
006,Kingsview Village-The Westway (6),2025,Assault,111
006,Kingsview Village-The Westway (6),2025,Auto Theft,54
006,Kingsview Village-The Westway (6),2025,Break and Enter,23
006,Kingsview Village-The Westway (6),2025,Robbery,9
006,Kingsview Village-The Westway (6),2025,Theft Over,4
007,Willowridge-Martingrove-Richview (7),2000,Assault,1
007,Willowridge-Martingrove-Richview (7),2010,Assault,1
007,Willowridge-Martingrove-Richview (7),2012,Assault,2
